,matchLink,matchId,teamA,teamB,kefA,kefb,win
114,https://www.hltv.org/matches/2322183/signature-vs-mvp-pk-esl-pro-league-season-7-asia-pacific,2322183,6774,7354,4.22,1.21,1
115,https://www.hltv.org/matches/2322018/natus-vincere-vs-mousesports-dreamhack-masters-marseille-2018,2322018,4608,4494,2.03,1.74,0
116,https://www.hltv.org/matches/2322019/cloud9-vs-gambit-dreamhack-masters-marseille-2018,2322019,5752,6651,1.39,2.81,1
117,https://www.hltv.org/matches/2322202/alternate-attax-vs-berzerk-99damage-league-season-8,2322202,4501,5121,1.35,2.98,0
118,https://www.hltv.org/matches/2322215/euronics-vs-valiance-esea-main-season-27-europe,2322215,6343,8481,2.0,1.73,1
119,https://www.hltv.org/matches/2322020/astralis-vs-faze-dreamhack-masters-marseille-2018,2322020,6665,6667,1.57,2.33,0
120,https://www.hltv.org/matches/2322223/vega-squadron-vs-cpavky-gamdom-premier,2322223,6094,9040,1.37,2.8,1
121,https://www.hltv.org/matches/2322203/euronics-vs-panthers-99damage-league-season-8,2322203,6343,6693,1.23,3.72,0
122,https://www.hltv.org/matches/2322214/vega-squadron-vs-goodjob-starseries-i-league-season-5-cis-qualifier,2322214,6094,7820,1.63,2.19,1
123,https://www.hltv.org/matches/2322224/memyselfi-vs-asterion-gamdom-premier,2322224,7009,7299,2.44,1.49,0
124,https://www.hltv.org/matches/2322213/pro100-vs-epg-starseries-i-league-season-5-cis-qualifier,2322213,7898,7489,1.6,2.24,1
125,https://www.hltv.org/matches/2322225/quantum-bellator-fire-vs-euronics-gamdom-premier,2322225,7367,6343,2.11,1.67,0
126,https://www.hltv.org/matches/2321751/isurus-vs-furious-esl-latin-america-league-season-1,2321751,7653,6799,1.12,5.36,0
127,https://www.hltv.org/matches/2322021/nip-vs-fnatic-dreamhack-masters-marseille-2018,2322021,4411,4991,1.87,1.88,1
128,https://www.hltv.org/matches/2322226/gameagents-vs-yodelin-gamdom-premier,2322226,6652,9041,1.42,2.67,1
129,https://www.hltv.org/matches/2322222/flipsid3-vs-hollywood-starseries-i-league-season-5-cis-qualifier,2322222,5988,8847,1.36,3.01,0
130,https://www.hltv.org/matches/2322227/berzerk-vs-panthers-99damage-league-season-8,2322227,5121,6693,2.22,1.61,1
131,https://www.hltv.org/matches/2322212/space-jam-vs-forze-starseries-i-league-season-5-cis-qualifier,2322212,7017,8135,1.79,1.97,1
132,https://www.hltv.org/matches/2321861/furious-vs-isurus-esl-latin-america-league-season-1,2321861,6799,7653,5.36,1.12,1
133,https://www.hltv.org/matches/2321753/w7m-vs-sharks-esl-latin-america-league-season-1,2321753,8574,8113,2.89,1.37,1
134,https://www.hltv.org/matches/2321863/sharks-vs-w7m-esl-latin-america-league-season-1,2321863,8113,8574,1.39,2.83,0
135,https://www.hltv.org/matches/2322221/swole-patrol-vs-ghost-starseries-i-league-season-5-north-america-qualifier,2322221,7726,7801,2.4,1.53,0
136,https://www.hltv.org/matches/2322184/grayhound-vs-order-esl-pro-league-season-7-asia-pacific,2322184,8008,8668,2.14,1.67,0
137,https://www.hltv.org/matches/2322220/splyce-vs-complexity-starseries-i-league-season-5-north-america-qualifier,2322220,6301,5005,2.38,1.54,1
138,https://www.hltv.org/matches/2322185/tainted-minds-vs-mvp-pk-esl-pro-league-season-7-asia-pacific,2322185,7517,7354,2.82,1.4,1
