,matchId,teamAId,teamBId,kefsA,kefsB
2296,2324920,4469,9193,1.27,3.65
2297,2324936,8135,8020,1.45,2.7
2298,2324606,4411,4869,2.14,1.71
2299,2324922,8051,9267,1.22,3.93
2300,2324947,9263,8978,1.28,3.49
2301,2324919,7367,4469,3.48,1.3
2302,2324921,8020,7234,2.45,1.52
2303,2324956,7489,9183,3.86,1.27
2304,2324923,9262,9133,2.64,1.43
2305,2324957,7640,8978,1.6,2.19
2306,2324804,4608,4991,1.33,3.3
2307,2324969,8051,9133,1.51,2.4
2308,2324805,6667,4494,1.43,2.76
2309,2324959,8700,5422,2.86,1.39
2310,2324887,5422,6792,1.09,9.51
2311,2324929,7726,5158,1.65,2.18
2312,2324974,7217,8718,1.95,1.79
2313,2324928,8700,9074,1.27,3.54
2314,2324930,7726,9227,1.56,2.35
2315,2324975,7217,9074,1.74,2.01
2316,2324948,6343,9182,1.19,4.38
2317,2324949,7865,6762,1.61,2.23
2318,2324971,7820,4469,2.88,1.39
2319,2324906,8135,7969,1.46,2.64
2320,2324806,6665,5973,1.27,3.58
2321,2324905,4914,6118,1.52,2.5
2322,2324807,4608,4494,1.58,2.29
2323,2324888,6673,5158,1.1,6.71
2324,2324843,8728,9013,1.48,2.61
2325,2324844,8574,7830,3.04,1.35
2326,2324889,7801,7726,1.3,3.53
2327,2324845,8051,8871,1.57,2.37
2328,2324846,7653,9260,1.53,2.5
2329,2324983,6343,7865,1.62,2.28
2330,2324984,9182,6762,3.13,1.34
2331,2324981,9193,7234,1.72,2.03
2332,2324986,7969,4914,3.83,1.26
2333,2324937,7898,7489,1.45,2.63
2334,2324808,5752,9215,2.8,1.41
2335,2324985,6118,8135,1.35,3.07
2336,2324224,8574,8051,1.7,2.1
2337,2324225,8728,8411,1.4,2.84
2338,2324809,4991,6667,2.97,1.38
2339,2324847,8728,8871,1.35,3.07
2340,2324890,7106,6947,1.46,2.65
2341,2324987,8880,7726,1.6,2.28
2342,2324848,8574,9260,1.5,2.55
2343,2324988,5422,5158,1.4,2.86
2344,2324976,8728,8989,1.07,7.81
2345,2324849,8051,9013,1.64,2.22
2346,2324989,9160,9227,1.37,2.96
2347,2324990,7841,9161,1.58,2.33
2348,2324850,7653,7830,2.67,1.45
2349,2324982,9183,4674,2.6,1.45
2350,2324938,8846,4469,2.06,1.76
2351,2325002,7865,6762,1.5,2.59
2352,2325010,7898,8135,1.87,1.89
2353,2325003,4914,6118,1.61,2.22
2354,2324810,5973,9215,1.68,2.11
2355,2324811,4494,4991,1.72,2.05
2356,2324892,6673,7726,1.15,5.06
2357,2324851,8728,8051,1.48,2.58
2358,2324991,5158,7841,1.41,2.76
2359,2325004,9203,9128,3.11,1.37
2360,2324852,8574,7653,1.97,1.88
2361,2324853,8871,9013,1.98,1.8
2362,2324891,5005,5422,1.18,4.6
2363,2324992,8880,9227,1.67,2.11
2364,2325005,8751,8825,1.66,2.19
2365,2324854,9260,7830,2.95,1.37
2366,2324951,8823,7681,2.49,1.51
2367,2324950,9193,7187,2.56,1.48
2368,2325021,8211,8831,1.06,7.67
2369,2325022,9281,9282,1.47,2.58
2370,2325024,9283,9284,1.63,2.16
2371,2325025,9285,9173,4.11,1.22
2372,2325026,4869,7669,1.03,6.85
2373,2325016,8568,9193,1.62,2.21
2374,2325017,9246,7339,1.42,2.74
2375,2325019,9214,9194,1.74,2.04
2376,2325020,7169,7666,1.41,2.76
2377,2325023,4949,6762,1.75,2.01
2378,2324999,8574,8871,1.38,2.96
2379,2325014,8728,7653,1.73,2.09
2380,2324998,8904,8902,4.25,1.21
2381,2324893,6947,5005,3.96,1.23
2382,2324995,7830,7936,1.08,7.51
2383,2324994,8825,9059,1.56,2.37
2384,2325001,8728,9265,1.24,3.81
2385,2325015,8871,9260,2.51,1.51
2386,2324993,5158,9227,1.48,2.6
2387,2324997,8051,7699,1.21,4.21
2388,2324977,6774,7567,4.79,1.15
2389,2324978,8008,8262,1.12,5.77
2390,2324979,8668,8211,1.11,5.82
2391,2324980,8852,7517,3.53,1.27
2392,2325028,8823,7187,2.58,1.48
2393,2325030,6343,6118,1.78,2.0
2394,2325027,9183,4469,2.04,1.75
2395,2325011,7701,4688,1.52,2.48
2396,2325029,7681,9193,2.25,1.61
2397,2325018,4469,7187,2.06,1.73
2398,2325031,6855,8769,1.51,2.54
2399,2325042,9214,7169,2.56,1.47
2400,2325033,4869,9246,1.21,4.08
2401,2325012,8637,7898,1.31,3.53
2402,2325013,6343,8305,1.17,4.99
2403,2325043,6762,7234,1.53,2.46
2404,2325044,9193,7187,3.04,1.36
2405,2324996,9266,7653,10.56,1.03
2406,2325000,8751,9013,2.09,1.72
2407,2325045,8887,9275,1.25,3.57
2408,2325046,9274,6010,6.95,1.06
2409,2325051,8536,9272,1.16,4.51
2410,2325052,9276,5293,5.23,1.12
2411,2325047,6010,8887,1.1,5.43
2412,2325054,9272,9276,1.5,2.41
2413,2325050,9275,6010,6.18,1.11
2414,2325055,9276,8536,4.42,1.19
2415,2325076,9183,7367,1.42,3.38
2416,2325077,7489,8772,1.59,2.7
2417,2325078,9288,9182,2.49,1.67
2418,2325079,7969,8305,2.09,1.92
2419,2325057,7567,8008,3.45,1.27
2420,2325059,7517,8668,2.53,1.48
2421,2325060,6343,6978,1.26,3.62
2422,2325061,8823,7681,2.1,1.71
2423,2325070,9113,8895,3.52,1.26
2424,2325065,4869,7187,1.24,3.86
2425,2325089,8305,9182,1.18,6.48
2426,2325062,7701,8637,2.0,1.76
2427,2325072,9239,9293,1.51,2.4
2428,2325095,4469,9291,1.19,4.81
2429,2325092,9193,9289,1.13,5.73
2430,2325093,7820,9290,1.19,4.68
2431,2325094,8135,9287,1.12,5.47
2432,2325064,8769,8305,1.24,4.0
2433,2325102,9113,9293,1.41,2.7
2434,2324812,6665,4494,1.46,3.55
2435,2325063,4688,7898,1.44,2.79
2436,2325066,6855,6343,2.08,1.75
2437,2325084,7169,7234,1.61,2.25
2438,2325108,4469,9287,1.12,5.43
2439,2325109,8135,9291,1.16,4.58
2440,2325103,8895,9239,1.31,3.18
2441,2324813,4608,5973,1.54,2.47
2442,2325105,9293,9239,3.8,1.23
2443,2325068,9292,9016,1.9,1.93
2444,2325098,8051,8871,1.36,3.03
2445,2325099,8728,7830,1.98,1.72
2446,2324894,6673,5005,1.47,2.64
2447,2325090,9296,9297,1.22,3.79
2448,2325091,9273,9296,2.56,1.46
2449,2325122,8772,7820,3.25,1.32
2450,2325125,7969,8135,3.15,1.34
2451,2325123,9183,9290,1.26,3.85
2452,2325124,8305,9287,2.06,1.71
